Gene,t0,t8,t16,t24,t48,t72,t96,t144
MGG_12937,0,7.365949025,1.658579204,7.390857853,16.28254639,6.564915666,3.00676454,2.123621169
MGG_09377,0,14.78123239,0,3.538381756,16.23918231,4.410601479,4.940948266,1.28084665
MGG_11487,0,0.378632062,1.658579204,6.656984248,9.293398923,13.72153554,10.91141962,2.746957841
MGG_07810,0,0,0,23.91927111,3.465459209,9.638996358,4.848881433,3.9156859
MGG_16737,0,0,4.119371302,40.0180884,0.224257738,0.984186894,0.545772074,0
MGG_03495,0,1.214963314,7.105484882,27.97747508,2.370797207,1.168910273,2.714802243,3.752628774
MGG_07591,0,0,0.628037531,8.313481511,10.91406655,11.03872051,14.62184014,0.842613806
MGG_08350,0,4.383328883,1.256075062,2.557994311,30.74103091,2.450784124,4.417115218,0.859539747
MGG_03338,0,0,0,0.639498578,6.651876646,18.34111335,7.907630771,13.30388363
MGG_17667,0,0.378632062,0.628037531,8.571305248,21.60142339,3.074080692,4.64898597,8.162767527
MGG_16551,0,0,0,29.22967771,14.85327106,0.538274292,1.485383693,1.005670933
MGG_16378,0,0,0,36.34305246,5.379082469,2.325594407,1.950171371,1.775299503
MGG_08373,0,0,0.628037531,0,27.07169222,3.75814659,3.490515553,13.56829223
MGG_10455,0,0,0,25.46444147,11.63559302,0.9878566,1.56934378,8.932556809
MGG_01993,0,3.832756981,0,0,0.228178311,27.22795371,17.37479491,0.876465688
MGG_05518,0,2.018663795,0.628037531,17.52846007,18.36495982,7.200457021,3.438530755,2.488708064
MGG_12016,0,0,0,0,21.8473942,21.00984754,6.093241454,4.421622508
MGG_15376,0,0,0,43.21975602,10.88580522,0,1.653303867,0
MGG_13836,0,16.84343456,7.436529711,12.01948671,6.86484822,4.835912193,5.5566223,2.342576879
MGG_10796,0,1.560964606,37.84529788,16.54956581,0,0,0,0.421306903
MGG_07411,0,2.397295858,8.18738458,6.997873115,2.595292723,3.674341333,10.86975995,21.69709062
MGG_11292,0,0,0,42.76483276,8.732241925,1.198068594,3.225623338,1.775299503
MGG_17894,0,5.094156651,11.67871835,13.85491731,14.72358263,4.809206559,2.865688599,5.983247774
MGG_05504,0,2.397295858,2.914654266,0.639498578,29.75164484,12.68391873,7.046027857,5.252913272
MGG_07749,0,10.44433986,0,1.184622129,11.05346855,15.14918235,19.04408642,4.336992804
MGG_05792,0,27.27107085,0,15.57899508,0.904872099,6.561245959,7.294932428,3.713495419
MGG_10394,0,0,0.628037531,1.074762472,56.40936114,3.010877324,0.461811987,0
MGG_17824,0,3.612259171,4.344904691,8.371245298,10.5927158,13.03278225,12.23571786,10.57304817
MGG_02166,0,0,0,41.28160092,14.73347193,1.736342886,1.304451565,3.971905909
MGG_17353,0,0,0,1.074762472,35.28137353,9.389871239,4.451020024,13.05707415
MGG_16603,0,0,1.256075062,8.219106484,23.16004539,7.660849118,13.04036775,10.1180501
MGG_17628,0,0,0,15.91988394,34.9819833,3.103239013,5.418747898,4.556109226
MGG_07372,0,57.57197458,2.286616735,1.278997156,2.965738503,0.357220619,0,0.219116422
MGG_08027,0,0.378632062,0,57.71981389,4.098788914,0.685282917,0.742691847,2.269752355
MGG_17840,0,38.15718271,7.262354347,11.78428277,1.817585345,3.549151616,0.645719806,3.606658301
MGG_08406,0,58.36853385,5.378241755,2.557994311,0.731002267,0.656124596,0,0
MGG_16382,0,2.650424437,22.32969042,15.65224349,13.1762468,3.498174386,5.364607735,5.213619204
MGG_16925,0,6.230052838,18.06180971,31.74688604,3.68947917,3.877213914,2.333974652,2.106534516
MGG_09722,0,1.182332544,1.204717037,1.074762472,0.904872099,36.96052878,24.92056142,3.162983272
MGG_10318,0,0,0,1.184622129,63.74399215,3.214985572,0.299843194,2.342737591
MGG_00619,0,13.23407337,9.04375089,9.755927377,0.228178311,6.291500304,22.77049459,9.80918321
MGG_13604,0,31.8944991,4.119371302,14.80851023,7.920408481,2.207744103,2.277084647,7.926564451
MGG_16041,0,0.378632062,8.641246747,61.97094264,0.224257738,0,0,0.567438089
MGG_02073,0,0,0,32.71029568,15.02379986,7.357239098,7.633811484,10.37613916
MGG_10477,0,0,23.40879473,16.39742699,17.07764244,6.770240933,8.653298308,2.011341866
MGG_02234,0,0,0,0,9.553075608,37.34683892,14.32115657,15.23567309
MGG_17077,0,0,0,55.58577358,9.180519624,5.81642938,3.868367453,2.286517583
MGG_05119,0,9.019786346,6.631521426,24.13899043,28.27542661,3.759363609,4.144116256,1.499963073
MGG_05108,0,14.29090243,8.067362632,14.75074645,8.678275214,15.83324825,14.2570002,2.123460457
MGG_08610,0,1.593595376,0.628037531,14.56199639,17.54944358,14.91715145,19.96555503,9.246865881
MGG_00815,0,6.987316963,3.317158408,1.71426105,2.82715383,22.4625843,36.41077458,4.792151589
MGG_07357,0,0,0,26.81815429,43.24897235,1.522461186,3.357546358,3.606658301
MGG_07834,0,0,0,51.99112122,16.84782948,2.447114418,3.784407366,3.567524946
MGG_05424,0,0,0,14.88740063,42.84692421,5.490819769,5.472662213,10.12317086
MGG_09842,0,10.82007394,10.59961404,13.99574623,14.62011707,11.65836602,16.29751468,1.848284739
MGG_12930,0,2.318228731,7.662063099,19.59491988,25.62067401,8.472538772,11.39196909,7.9997104
MGG_07854,0,0.757264125,0,3.197492889,54.16930746,8.337756286,9.787900182,7.938369632
MGG_18035,0,1.182332544,1.030541673,49.80349185,5.205212636,9.822502718,10.68147838,7.207874417
MGG_16058,0,0,0,29.92127215,39.04998717,4.26726256,7.290910563,4.612329234
MGG_09765,0,14.40260033,16.95144867,15.66355339,9.997432734,9.907524994,9.605921881,8.691072261
MGG_09627,0,0,0,50.77970456,23.00543665,4.05338086,2.695838908,4.848371597
MGG_01963,0,3.723957067,17.47397476,32.7370902,8.662830699,6.383861993,5.343714883,11.95485108
MGG_08543,0,4.023522003,3.317158408,3.103117862,21.07786974,23.53302914,21.6527637,10.52227035
MGG_17063,0,8.313978172,0.628037531,60.38349313,11.44662045,1.013345215,4.152223003,1.86521068
MGG_17681,0,22.01665834,11.85289372,12.23503129,9.386571366,8.715578793,11.67395814,12.35378986
MGG_07869,0,0,0,77.50765856,4.393037424,3.489617954,1.837211686,1.499963073
MGG_02546,0,0,0,13.06327992,47.87434644,9.896715205,14.14640167,6.252981307
MGG_16693,0,0,0,9.72913285,67.22500954,2.925855047,6.242424141,6.202203484
MGG_12942,0,3.121929213,1.256075062,0.639498578,24.84518083,24.14778792,29.98797599,10.06150866
MGG_16829,0,18.80475439,1.658579204,41.47452571,20.37935889,4.326796222,6.267338857,3.533512352
MGG_16476,0,0,0,89.9427498,2.981420796,0,2.863759082,1.061730228
MGG_17205,0,0,4.347700081,17.6228351,23.49694465,19.0204732,23.12513544,9.297643704
MGG_05805,0,17.2249646,5.324088339,3.648241413,56.2399495,6.667069455,3.314488632,4.62381299
MGG_03308,0,11.7542975,9.443459642,19.41598654,1.458083961,9.873479947,14.25595402,31.91593627
MGG_07574,0,2.051294565,1.884112592,11.64762858,65.08678923,6.770240933,8.899227188,2.780970436
MGG_15793,0,0,9.463560931,8.072635587,0.680614361,21.62843806,28.97821982,30.32638344
MGG_07871,0,0.378632062,0,1.824120706,9.846610784,25.5403347,46.2236525,15.43274281
MGG_08994,0,7.902715341,18.71274392,15.10711994,27.94981351,14.39618935,9.027128344,6.185277543
MGG_17335,0,62.93673975,5.426804389,6.641499618,3.415071304,7.217370555,10.750497,3.112366161
MGG_18062,0,0,0,41.58438537,40.2119502,3.759363609,7.752722551,7.117802527
MGG_00734,0,2.318228731,8.084668531,55.1561776,5.464755534,9.614743411,13.55422756,7.500136788
MGG_13654,0,5.379916,14.89316071,15.02405481,19.84833566,11.50525365,8.083720709,28.30411374
MGG_16171,0,0,0,89.23417754,9.222828605,0.567432613,2.38298376,2.123621169
MGG_08992,0,0,0,91.68798011,6.446062681,1.669469811,2.495943445,3.185351398
MGG_06225,0,90.58276831,4.975737612,9.592478666,0,0,0,0.842613806
MGG_12715,0,6.276489195,4.696050809,9.226288456,16.90885228,24.85261774,26.59586733,17.7128974
MGG_04546,0,1.182332544,4.068013278,16.96785189,70.40914105,5.801949885,6.008398024,4.320227575
MGG_16860,0,12.83873774,15.26997278,10.50528561,6.736970164,40.72356209,17.87646308,6.864834223
MGG_14652,0,21.30583057,14.13951045,16.80589636,25.98988897,13.96579258,8.738141738,13.07323999
MGG_10310,0,60.60258382,5.378241755,6.872528828,19.88601073,11.46526689,3.622438573,6.921054231
