,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48
MGG_15745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,72,30,20
MGG_15746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MGG_15747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MGG_15748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,27,11,6
MGG_15749,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22,44,8,198,78,50
MGG_15750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1
MGG_15751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,14,2,38,15,2
MGG_15752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
MGG_15753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,12,3,49,21,20
MGG_15754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,5,3
MGG_15756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
MGG_15757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
MGG_15758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
MGG_15759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,20,7,117,25,17
MGG_15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,28,3,41,17,13
MGG_15761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
MGG_15762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
MGG_15763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGG_15764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1
MGG_15765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
